11,,,,,,,,
Public,,,,,,,,
Private,,,,,,,,
Unverified ,,,,,,,,
,,,,,,,,
ULT_DUNS_NBR,ULT_SUPPLIER_NM,Revenue,SG&A,EBIT,SG&A %,Profit %,SG&A & P,OEM(s)
4175550,PARKER-HANNIFIN CORPORATION,"20,461,000,000","3,217,000,000","4,441,000,000",15.72%,21.70%,37.43%,"General Motors, Ford, Volkswagen, Hyundai, Stellantis"
5317193,CADILLAC PRODUCTS INC,,,,,,0.00%,
600342612,KIBBUTZ EIN HASHOFET,,,,,,0.00%,
255031544,KSR INTERNATIONAL CO,,,,,,0.00%,
80435161,SHIPSTON GROUP US INC,,,,,,0.00%,
315424275,KAMAX HOLDING GMBH & CO KG,,,,,,0.00%,
690535927,AKEBONO BRAKE INDUSTRY CO LTD,"1,026,000,000","80,700,000","29,405,123",7.87%,2.87%,10.73%,"Toyota, Honda, Nissan, Subaru, Mazda, General Motors, Stellantis, Ford, BMW, Audi, Volkswagen"
342656928,BEHR HELLA THERMOCONTROL GMBH,,,,,,0.00%,
687998617,HWASEUNG CORP CO LTD,"1,229,173,236.80","127,761,992","67,071,980.00",10.39%,5.46%,15.85%,"Hyundai, Kia, General Motors, Ford, Stellantis, BMW, Volkswagen, Mercedes, Toyota"
209826890,MARKDOM PLASTIC PRODUCTS LTD,,,,,,0.00%,
21093638,BOPP-BUSCH MANUFACTURING CO INC,,,,,,0.00%,
8255754,BOURNS INC,,,,,,0.00%,
690553888,AGC INC,"13,228,824,289","2,419,967,700","775,923,773",18.29%,5.87%,24.16%,"BMW, Volkswagen, Mercedes, General Motors, Tesla, Toyota"
247865264,AIRBOSS OF AMERICA CORP,"396,700,000","55,290,000","7,790,000",13.94%,1.96%,15.90%,"General Motors, Ford, Stellantis, Honda"
79817102,PRECISION INTERNATIONAL AUTOMOTIVE,,,,,,0.00%,
824634737,J N B MACHINING CO INC,,,,,,0.00%,
315016295,VOLKSWAGEN AG,"343,978,530,000","37,590,705,000","15,895,685,000",10.93%,4.62%,15.55%,"Volkswagen, Audi"
460014468,SIULED SL,,,,,,0.00%,
117470079,RAVEN ACQUISITION LLC,,,,,,0.00%,
68200625,JMX INC,,,,,,0.00%,
842103694,GEMINI GROUP INC,,,,,,0.00%,
186547410,"WINGATE PARTNERS, L P",,,,,,0.00%,
564722275,FORTE HOLDINGS SPA,,,,,,0.00%,
687782458,TAEYANG METAL INDUSTRIAL CO LTD,"456,462,755.56","49,853,370.37","9,223,377.78",10.92%,2.02%,12.94%,"Hyundai, Kia, General Motors, Ford, Stellantis, Mazda"
329761634,EBERSPACHER GRUPPE GMBH & CO KG,,,,,,0.00%,
